symbol,date,avg_volume,last_volume,prev_volume,avg_volume_10d,rvol,open,close,pct_change,day_range_pct,range_vs_avg,buy_vol_pct,flow,vol_zscore,dollar_vol,direction,notes
MMA,2026-08-20 11:05,97189,232019661,66962,90416,2387.29,0.4961,0.745,92.26,62.68,14.26,62.6,bought up,4047.58,172854648,up,yfinance (consolidated)
LOOP,2026-08-20 11:05,52386,49722165,33646,39832,949.14,0.8931,0.7544,18.78,34.46,3.64,14.8,sold off,1130.54,37510402,up,yfinance (consolidated)
HUIZ,2026-08-20 11:05,1507755,74632210,830366,3010342,49.5,3.045,2.06,43.05,75.24,7.8,7.0,sold off,11.88,153742348,up,yfinance (consolidated)
BEEM,2026-08-20 11:05,341252,15567610,1031245,376104,45.62,1.385,1.365,11.89,10.99,2.61,87.3,bought up,70.11,21249787,up,yfinance (consolidated)
SGLY,2026-08-20 11:05,941701,41386013,394218,1415333,43.95,4.61,3.4101,14.24,54.25,1.79,1.7,sold off,13.78,141130442,up,yfinance (consolidated)
BTCT,2026-08-20 11:05,3555617,92984014,66582073,6831525,26.15,1.55,1.54,86.89,35.06,6.29,17.6,sold off,6.03,143195378,up,yfinance (consolidated)
FGL,2026-08-20 11:05,1631308,32265570,830397,2207859,19.78,0.3274,0.2986,-17.15,30.01,0.93,7.0,sold off,10.79,9634498,down,yfinance (consolidated)
INDP,2026-08-20 11:05,190544,2668330,814973,257478,14.0,0.9419,1.19,26.61,27.73,1.59,68.0,bought up,14.24,3175312,up,yfinance (consolidated)
ICCM,2026-08-20 11:05,78421,879361,64419,79345,11.21,2.52,2.372,-6.98,13.91,1.16,86.2,bought up,21.06,2085844,down,yfinance (consolidated)
BTMD,2026-08-20 11:05,192488,1770523,81764,223788,9.2,1.36,1.575,14.13,20.32,2.13,76.3,bought up,9.14,2788573,up,yfinance (consolidated)
BTCS,2026-08-20 11:05,727318,4275060,2541034,902061,5.88,1.31,1.275,1.19,11.37,2.19,27.6,sold off,7.21,5450701,up,yfinance (consolidated)
ANDG,2026-08-20 11:05,374431,1691857,532302,367537,4.52,45.51,48.98,8.82,7.29,1.6,75.5,bought up,6.74,82867155,up,yfinance (consolidated)
AAP,2026-08-20 11:05,1127998,5038247,1818395,1225295,4.47,46.85,43.22,-23.08,9.88,1.74,31.4,sold off,10.8,217753041,down,yfinance (consolidated)
CAN,2026-08-20 11:05,10355521,39568620,8709769,6901602,3.82,0.28,0.2705,12.01,7.69,0.88,13.1,sold off,3.24,10703311,up,yfinance (consolidated)
RITR,2026-08-20 11:05,121751334,425915551,7919545,9205820,3.5,0.1345,0.088,13.11,95.91,1.83,85.3,bought up,0.86,37480568,up,yfinance (consolidated)
USDE,2026-08-20 11:05,480575,1545655,465229,382638,3.22,3.23,3.6702,19.55,19.34,2.28,78.9,bought up,4.71,5672863,up,yfinance (consolidated)
PSNL,2026-08-20 11:05,2467730,7883963,8047662,2446107,3.19,15.91,17.045,7.88,6.66,1.7,63.0,bought up,3.26,134382149,up,yfinance (consolidated)
