symbol,date,avg_volume,last_volume,prev_volume,avg_volume_10d,rvol,open,close,pct_change,day_range_pct,range_vs_avg,buy_vol_pct,flow,vol_zscore,dollar_vol,direction,notes,earnings_date,near_spike,eps_surprise,rev_yoy,record_quarter,earnings_note
CELU,2026-08-27,98320,219367200,177200,162980,2231.16,1.11,2.1,138.64,77.33,18.03,72.3,bought up,847.73,460671099,up,yfinance (consolidated),2023-08-14,False,-800.0,-77.4,False,-77% YoY rev; last earnings 2023-08-14; EPS miss -800.0%
PPCB,2026-08-27,134105,96703300,9200,28350,721.1,3.51,2.23,108.41,96.41,17.42,11.6,sold off,334.05,215648360,up,yfinance (consolidated),,False,,,False,
WKSP,2026-08-27,499010,192263500,1750800,711790,385.29,0.616,0.63,23.53,38.57,4.16,12.8,sold off,354.31,121126004,up,yfinance (consolidated),2026-08-11,False,25.0,47.9,False,+48% YoY rev; last earnings 2026-08-11; EPS beat +25.0%
YAAS,2026-08-27,139365,29728000,2900,21310,213.31,2.63,2.5,-0.79,19.2,1.09,60.4,mixed,66.13,74320000,down,yfinance (consolidated),,False,,,False,
AEMD,2026-08-27,66902,13974100,28300,47500,208.87,2.24,2.17,-4.82,8.29,0.58,0.0,sold off,224.5,30323798,down,yfinance (consolidated),2026-08-13,False,0.7,,False,last earnings 2026-08-13; EPS beat +0.7%
NMTC,2026-08-27,70340,13814400,10400,74150,196.39,2.16,1.98,-1.0,80.81,7.28,5.6,sold off,199.58,27352512,down,yfinance (consolidated),2026-08-13,False,-29.2,34.3,False,+34% YoY rev; last earnings 2026-08-13; EPS miss -29.2%
MIMI,2026-08-27,308840,50434200,3968300,464200,163.3,2.3,1.29,-28.33,157.36,9.81,1.5,sold off,57.7,65060116,down,yfinance (consolidated),,False,,,False,
OBAI,2026-08-27,547695,64119200,1983300,788770,117.07,0.36,0.37,15.63,43.24,3.68,31.3,sold off,121.34,23724104,up,yfinance (consolidated),2026-08-14,False,4.8,4.4,False,+4% YoY rev; last earnings 2026-08-14; EPS beat +4.8%
EPOW,2026-08-27,401590,35005700,177400,241080,87.17,0.416,0.448,4.43,22.1,1.92,68.7,bought up,56.44,15682554,up,yfinance (consolidated),,False,,,False,
VNRX,2026-08-27,4227450,352631000,62421500,6891330,83.41,0.65,0.5,47.06,44.0,2.63,0.0,sold off,25.14,176315500,up,yfinance (consolidated),2026-08-13,False,12.7,299.8,True,record revenue (5q high); +300% YoY rev; last earnings 2026-08-13; EPS beat +12.7%
MERC,2026-08-27,3235345,101558300,56036600,5947260,31.39,0.65,0.39,-4.88,69.23,5.29,3.7,sold off,7.91,39607735,down,yfinance (consolidated),2026-08-06,False,-8.9,1.5,False,+1% YoY rev; last earnings 2026-08-06; EPS miss -8.9%
WNW,2026-08-27,705075,15982100,12634600,1289480,22.67,3.25,3.31,33.47,19.03,3.28,39.7,mixed,5.44,52900750,up,yfinance (consolidated),,False,,,False,
BIRD,2026-08-27,337830,6993200,137200,317000,20.7,2.41,2.77,16.39,28.34,5.33,52.9,mixed,54.27,19371163,up,yfinance (consolidated),2026-03-31,False,20.0,-30.5,False,-31% YoY rev; last earnings 2026-03-31; EPS beat +20.0%
AZIO,2026-08-27,622945,11874900,1495600,510810,19.06,1.2,1.35,15.38,18.52,1.42,64.0,mixed,13.63,16031115,up,yfinance (consolidated),2022-08-15,False,65.0,280.8,False,+281% YoY rev; last earnings 2022-08-15; EPS beat +65.0%
XAIR,2026-08-27,64695,1090200,14500,56740,16.85,4.94,5.7,14.69,19.28,1.58,100.0,bought up,9.71,6214139,up,yfinance (consolidated),2026-06-26,False,-35.9,65.5,False,+66% YoY rev; last earnings 2026-06-26; EPS miss -35.9%
GSUN,2026-08-27,2659380,37490300,560000,2874230,14.1,0.259,0.338,26.59,48.22,1.7,52.8,mixed,10.36,12671721,up,yfinance (consolidated),,False,,,False,
BBW,2026-08-27,403575,5314800,617500,517140,13.17,33.24,28.44,-27.26,21.8,3.7,15.2,sold off,30.37,151152914,down,yfinance (consolidated),2026-08-27,True,11.7,-2.4,False,-2% YoY rev; reported 2026-08-27 (same day); EPS beat +11.7%
AAME,2026-08-27,87590,1066600,1256200,160130,12.18,1.34,1.57,20.77,15.92,3.05,92.0,bought up,3.55,1674562,up,yfinance (consolidated),,False,,,False,
BRNX,2026-08-27,849595,10253200,1282600,1491880,12.07,6.895,3.86,-38.14,183.94,12.84,8.5,sold off,10.13,39577350,down,yfinance (consolidated),,False,,,False,
TCI,2026-08-27,50840,600700,3400,15940,11.82,38.46,39.4,2.23,5.99,1.0,48.3,mixed,8.17,23667580,up,yfinance (consolidated),,False,,6.3,True,record revenue (5q high); +6% YoY rev
CHOW,2026-08-27,12511635,143708800,164600,936900,11.49,0.379,0.64,68.42,82.34,13.09,50.1,mixed,2.45,91973629,up,yfinance (consolidated),,False,,,False,
VNCE,2026-08-27,58610,651500,30900,53770,11.12,7.5,7.81,23.19,10.24,2.07,63.7,mixed,20.38,5088214,up,yfinance (consolidated),2026-06-16,False,-23.1,10.5,False,+11% YoY rev; last earnings 2026-06-16; EPS miss -23.1%
LUCK,2026-08-27,58305,563200,59400,51620,9.66,6.17,6.26,-7.12,17.25,4.35,68.5,bought up,24.54,3525632,down,yfinance (consolidated),2026-05-06,False,-29.0,0.7,True,record revenue (5q high); +1% YoY rev; last earnings 2026-05-06; EPS miss -29.0%
KXIN,2026-08-27,297875,2837700,251800,516360,9.53,5.3,1.5,-71.26,264.0,10.72,4.0,sold off,6.64,4256550,down,yfinance (consolidated),,False,,,False,
NMCO,2026-08-27,176765,1612400,184500,167490,9.12,9.93,9.83,-5.02,1.42,1.73,21.4,sold off,30.47,15849891,down,yfinance (consolidated),,False,,,False,
VRCA,2026-08-27,65530,533600,27700,88310,8.14,5.01,5.07,3.26,14.79,1.95,22.7,sold off,9.0,2705352,up,yfinance (consolidated),2026-08-06,False,-2.9,-53.8,False,-54% YoY rev; last earnings 2026-08-06; EPS miss -2.9%
MTLS,2026-08-27,67105,499300,87700,75750,7.44,7.2,7.42,11.24,7.28,3.05,94.4,bought up,20.51,3704806,up,yfinance (consolidated),2026-08-27,True,50.0,-0.2,False,-0% YoY rev; reported 2026-08-27 (same day); EPS beat +50.0%
APYX,2026-08-27,127175,815900,116700,111350,6.42,3.05,3.0,-1.64,7.5,0.78,77.8,bought up,10.09,2447700,down,yfinance (consolidated),2026-08-06,False,14.6,22.1,False,+22% YoY rev; last earnings 2026-08-06; EPS beat +14.6%
OKTA,2026-08-27,2797990,16352200,7025300,3132830,5.84,166.15,172.91,28.63,10.61,2.88,89.4,bought up,12.81,2827458961,up,yfinance (consolidated),2026-08-26,True,8.9,11.2,True,record revenue (5q high); +11% YoY rev; reported 2026-08-26 (1d before spike); EPS beat +8.9%
HSDT,2026-08-27,197350,1079300,260700,303820,5.47,2.09,2.43,18.54,16.46,4.2,87.5,bought up,4.86,2622699,up,yfinance (consolidated),2026-08-14,False,-37.5,7289.8,False,+7290% YoY rev; last earnings 2026-08-14; EPS miss -37.5%
TBCH,2026-08-27,348260,1902100,416200,282410,5.46,12.92,12.98,1.41,4.24,0.88,38.2,mixed,7.74,24689257,up,yfinance (consolidated),2026-08-06,False,-33.2,-0.7,False,-1% YoY rev; last earnings 2026-08-06; EPS miss -33.2%
FVN,2026-08-27,136130,729900,62700,159030,5.36,9.61,11.35,16.29,19.44,0.88,78.8,bought up,3.24,8284365,up,yfinance (consolidated),,False,,,False,
SKYA,2026-08-27,342830,1787300,240700,540300,5.21,1.35,1.47,15.75,14.97,1.65,59.1,mixed,3.99,2627331,up,yfinance (consolidated),2025-11-14,False,-328.7,-100.0,False,-100% YoY rev; last earnings 2025-11-14; EPS miss -328.7%
UPXI,2026-08-27,1976405,9851800,2810100,3242500,4.98,1.1,1.155,8.96,11.26,1.9,42.3,mixed,4.31,11378828,up,yfinance (consolidated),2026-02-10,False,-177.6,44.2,False,+44% YoY rev; last earnings 2026-02-10; EPS miss -177.6%
HQY,2026-08-27,652390,3219700,771900,687630,4.94,97.16,93.39,-10.56,10.16,3.66,49.7,mixed,21.43,300687781,down,yfinance (consolidated),2026-08-27,True,3.9,7.2,True,record revenue (5q high); +7% YoY rev; reported 2026-08-27 (same day); EPS beat +3.9%
HRL,2026-08-27,3850810,18565000,9283100,4416500,4.82,23.0,21.28,-10.25,9.96,4.89,0.5,sold off,9.47,395063212,down,yfinance (consolidated),2026-08-27,True,4.6,2.5,False,+3% YoY rev; reported 2026-08-27 (same day); EPS beat +4.6%
VTAK,2026-08-27,4675865,22209100,954300,1435350,4.75,0.21,0.2,-4.76,10.0,0.93,50.0,mixed,1.98,4441820,down,yfinance (consolidated),2024-11-14,False,-1016.7,202.1,True,record revenue (5q high); +202% YoY rev; last earnings 2024-11-14; EPS miss -1016.7%
CRM,2026-08-27,11894410,55465200,14888900,12581740,4.66,230.05,252.05,22.58,9.69,3.61,90.1,bought up,17.64,13980003829,up,yfinance (consolidated),2026-08-26,True,80.4,13.3,False,+13% YoY rev; reported 2026-08-26 (1d before spike); EPS beat +80.4%
PRE,2026-08-27,207500,952600,822000,319690,4.59,25.55,26.25,1.82,7.16,1.19,86.7,bought up,3.85,25005750,up,yfinance (consolidated),2026-08-18,False,-8.3,334.5,False,+334% YoY rev; last earnings 2026-08-18; EPS miss -8.3%
BURL,2026-08-27,909640,3958300,2470300,1145600,4.35,306.38,290.0,-7.64,9.02,2.69,5.5,sold off,6.12,1147907000,down,yfinance (consolidated),2026-08-27,True,35.4,14.1,False,+14% YoY rev; reported 2026-08-27 (same day); EPS beat +35.4%
GP,2026-08-27,281975,1196900,143400,345460,4.24,1.6,1.34,-15.19,38.06,4.9,49.0,mixed,3.95,1603846,down,yfinance (consolidated),2025-08-15,False,90.7,-10.0,False,-10% YoY rev; last earnings 2025-08-15; EPS beat +90.7%
IGC,2026-08-27,886065,3587400,453000,1066840,4.05,0.31,0.33,6.45,9.09,2.14,66.7,bought up,3.69,1183842,up,yfinance (consolidated),2026-08-14,False,-50.0,-3.9,False,-4% YoY rev; last earnings 2026-08-14; EPS miss -50.0%
LTRX,2026-08-27,792700,3202900,2286700,961340,4.04,6.68,6.03,6.54,21.06,3.79,18.1,sold off,5.46,19313487,up,yfinance (consolidated),2026-08-26,True,4.4,5.9,True,record revenue (5q high); +6% YoY rev; reported 2026-08-26 (1d before spike); EPS beat +4.4%
GAP,2026-08-27,5668515,22677600,13027100,6045330,4.0,20.75,20.79,-1.7,4.09,1.57,28.2,sold off,8.36,471467324,down,yfinance (consolidated),2026-08-27,True,180.9,1.0,False,+1% YoY rev; reported 2026-08-27 (same day); EPS beat +180.9%
GOVX,2026-08-27,984165,3805300,273600,1811460,3.87,0.633,0.717,13.81,36.12,3.69,38.2,mixed,1.03,2728400,up,yfinance (consolidated),2026-07-27,False,55.0,-100.0,False,-100% YoY rev; last earnings 2026-07-27; EPS beat +55.0%
BCAR,2026-08-27,135685,523300,212400,111880,3.86,5.7,4.72,-17.77,40.47,2.54,38.2,mixed,3.3,2469975,down,yfinance (consolidated),,False,,,False,
LOT,2026-08-27,343945,1324700,561700,554240,3.85,1.28,1.25,5.04,16.0,2.26,15.0,sold off,3.03,1655875,up,yfinance (consolidated),2026-04-10,False,14.7,-39.8,False,-40% YoY rev; last earnings 2026-04-10; EPS beat +14.7%
VEEV,2026-08-27,1716615,6408800,1452600,1538760,3.73,275.36,282.13,15.2,7.6,2.79,34.2,sold off,10.21,1808114775,up,yfinance (consolidated),2026-08-26,True,5.8,16.3,True,record revenue (5q high); +16% YoY rev; reported 2026-08-26 (1d before spike); EPS beat +5.8%
FINV,2026-08-27,548590,1989400,1911700,697720,3.63,4.26,4.02,-4.51,9.7,2.92,20.5,sold off,3.83,7997387,down,yfinance (consolidated),2026-03-16,False,9.9,-7.8,False,-8% YoY rev; last earnings 2026-03-16; EPS beat +9.9%
IX,2026-08-27,264925,941700,228600,305290,3.55,39.74,38.92,-2.04,4.42,3.03,50.0,mixed,4.65,36650962,down,yfinance (consolidated),2025-05-12,False,264.5,21.0,True,record revenue (5q high); +21% YoY rev; last earnings 2025-05-12; EPS beat +264.5%
HYPD,2026-08-27,426155,1473800,339800,664610,3.46,3.39,3.62,6.78,12.15,1.98,52.3,mixed,2.14,5335155,up,yfinance (consolidated),2026-08-12,False,-58.9,1559.4,False,+1559% YoY rev; last earnings 2026-08-12; EPS miss -58.9%
OOMA,2026-08-27,360050,1226400,357700,354730,3.41,22.5,23.04,12.23,16.62,4.03,17.8,sold off,7.51,28256257,up,yfinance (consolidated),2026-08-26,True,5.6,24.8,True,record revenue (5q high); +25% YoY rev; reported 2026-08-26 (1d before spike); EPS beat +5.6%
BUD,2026-08-27,1769100,5989700,1450300,1547460,3.39,78.36,79.1,0.85,1.33,0.94,94.3,bought up,7.04,473785260,up,yfinance (consolidated),2026-07-30,False,6.4,11.0,True,record revenue (5q high); +11% YoY rev; last earnings 2026-07-30; EPS beat +6.4%
LDI,2026-08-27,2699265,9039300,2044100,1628850,3.35,0.93,0.973,10.32,18.09,2.53,50.6,mixed,4.11,8795238,up,yfinance (consolidated),2026-08-04,False,-604.8,22.4,True,record revenue (5q high); +22% YoY rev; last earnings 2026-08-04; EPS miss -604.8%
AFRM,2026-08-27,2793860,9352400,2048500,2683240,3.35,76.9,77.49,1.35,3.61,0.84,74.3,bought up,11.34,724717456,up,yfinance (consolidated),2026-08-27,True,1233.6,32.6,False,+33% YoY rev; reported 2026-08-27 (same day); EPS beat +1233.6%
BAK,2026-08-27,2402960,8025900,11631900,3336060,3.34,1.49,1.64,10.81,11.28,1.18,83.8,bought up,2.3,13162475,up,yfinance (consolidated),2026-08-14,False,145.2,-20.4,False,-20% YoY rev; last earnings 2026-08-14; EPS beat +145.2%
DG,2026-08-27,1949745,6404700,3233300,2034780,3.28,127.84,125.89,2.53,6.35,2.54,17.4,sold off,9.63,806287679,up,yfinance (consolidated),2026-08-27,True,23.5,3.4,False,+3% YoY rev; reported 2026-08-27 (same day); EPS beat +23.5%
USDE,2026-08-27,6631615,21511000,1654100,12841760,3.24,6.5,8.07,34.95,30.36,3.39,82.4,bought up,0.68,173593763,up,yfinance (consolidated),,False,,,False,
DFDV,2026-08-27,1069105,3390100,1386700,1706000,3.17,4.81,5.28,17.33,13.26,2.82,67.1,bought up,2.51,17899728,up,yfinance (consolidated),2026-08-13,False,-198.5,828.2,False,+828% YoY rev; last earnings 2026-08-13; EPS miss -198.5%
NTNX,2026-08-27,2578155,8004800,4689300,2807190,3.1,71.24,69.84,6.81,9.64,3.5,31.9,sold off,7.78,559055202,up,yfinance (consolidated),2026-08-26,True,23.6,10.0,False,+10% YoY rev; reported 2026-08-26 (1d before spike); EPS beat +23.6%
TAOX,2026-08-27,112810,349300,101600,138650,3.1,4.09,4.28,7.27,9.58,1.33,51.2,mixed,2.99,1495004,up,yfinance (consolidated),2024-11-12,False,-134.9,,True,record revenue (5q high); last earnings 2024-11-12; EPS miss -134.9%
LCID,2026-08-27,9914365,30187100,17079900,9530400,3.04,5.0,5.09,2.83,14.54,1.48,31.1,sold off,4.24,153652343,up,yfinance (consolidated),2026-08-04,False,-15.3,56.2,False,+56% YoY rev; last earnings 2026-08-04; EPS miss -15.3%
